Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Next_day_open
10-Jun-25,EQ,701,701,691.55,699.25,693.5,695.2,694.71,796.75,515,457279,"31,76,78,471.40","17,511",
09-Jun-25,EQ,697,701.95,692.85,695.2,698.95,699.25,697.78,796.75,515,772762,"53,92,18,968.20","20,830",701
06-Jun-25,EQ,686.1,697.9,686,686.1,694.95,695.2,693.29,796.75,468.7,1604498,"1,11,23,82,645.75","51,035",697
05-Jun-25,EQ,687,693,683.4,686.2,685.7,686.1,688.08,796.75,468.7,1048703,"72,15,91,734.50","34,073",686.1
04-Jun-25,EQ,664.7,688.45,661.65,656.2,685,686.2,675.09,796.75,468.7,4691589,"3,16,72,60,252.40","84,217",687
03-Jun-25,EQ,665.8,665.8,653.35,660.4,655,656.2,657.62,796.75,468.7,991111,"65,17,69,787.35","63,410",664.7
02-Jun-25,EQ,655,662.15,650.05,655.55,660.95,660.4,657.04,796.75,468.7,1401512,"92,08,46,162.10","44,064",665.8
30-May-25,EQ,670.05,670.5,653.05,670.35,656,655.55,658.3,796.75,465.2,1875471,"1,23,46,23,761.00","45,091",655
29-May-25,EQ,662.05,672.05,659.85,659.75,671.75,670.35,668.11,796.75,465.2,1689146,"1,12,85,29,659.70","57,275",670.05
28-May-25,EQ,669.9,669.9,655.35,665.5,659.2,659.75,659.96,796.75,465.2,1091201,"72,01,53,408.45","24,806",662.05
27-May-25,EQ,663,668.6,659.2,661.55,668,665.5,664.49,796.75,465.2,1776278,"1,18,03,20,738.80","48,509",669.9
26-May-25,EQ,664.45,668.1,658.8,664.45,660.4,661.55,661.81,796.75,465.2,2357378,"1,56,01,44,600.40","63,063",663
23-May-25,EQ,674.25,674.55,662.8,674.25,664,664.45,666.95,796.75,463.1,1264576,"84,34,11,555.25","51,795",664.45
